ime,value
1576102621,2435638.985
1576102687,2405194.823
1576102763,1571007.858
1576102832,1123383.050
1576102898,2427797.817
1576102968,2433793.348
1576103037,2432570.863
1576103104,2429569.320
1576103170,2436058.663
1576103237,2444676.076
1576103303,2364732.388
1576103369,2422672.837
1576103435,2432418.949
1576103500,2425108.887
1576103566,2421358.637
1576103631,2430192.454
1576103697,2431828.704
1576103762,2439643.279
1576103828,2439455.264
1576103894,2413895.948
1576103959,2445267.003
1576104027,2427099.464
1576104094,2446428.938
1576104162,2458189.840
1576104229,2447569.927
1576104299,2446340.399
1576104367,2455157.502
1576104435,2438332.770
1576104503,2423670.373
1576104568,2435610.238
1576104634,2450853.318
1576104701,2442711.206
1576104767,2443673.699
1576104833,2424271.041
1576104898,2436354.846
1576104964,2447174.038
1576105029,2453224.548
1576105094,2445279.540
1576105161,2420969.133
1576105229,2421581.715
1576105298,2446708.402
1576105368,2444840.665
1576105437,2437030.171
1576105504,2441582.242
1576105570,2422332.670
1576105636,2445992.020
1576105703,2444000.682
1576105769,2430378.768
1576105834,2434747.719
1576105900,2430442.760
1576105966,2418150.885