Time,value
1576102633,3.841
1576102699,3.674
1576102776,5.551
1576102843,10.330
1576102910,3.942
1576102979,3.624
1576103049,3.957
1576103115,3.841
1576103182,4.013
1576103248,3.846
1576103315,3.926
1576103381,3.599
1576103446,3.778
1576103512,3.744
1576103577,3.669
1576103643,3.695
1576103708,3.693
1576103774,3.724
1576103839,3.785
1576103905,3.707
1576103971,3.804
1576104039,3.828
1576104105,3.682
1576104174,3.848
1576104241,3.784
1576104311,3.997
1576104378,3.721
1576104447,4.034
1576104513,3.527
1576104579,3.801
1576104645,3.585
1576104713,3.709
1576104778,3.773
1576104844,3.493
1576104910,3.862
1576104975,3.594
1576105039,3.535
1576105105,3.547
1576105172,3.691
1576105240,3.736
1576105310,3.804
1576105379,3.654
1576105448,3.582
1576105515,3.678
1576105581,3.544
1576105647,3.637
1576105714,3.690
1576105780,3.712
1576105846,3.734
1576105911,3.809
1576105977,3.781